(s, ns, GiB/s):
  0,                0.001,           831152.500,      7.802
  1,                0.001,           752017.900,      8.623
  2,                0.001,           752827.300,      8.614
  3,                0.001,           727695.400,      8.912
  4,                0.001,           722849.800,      8.971
  5,                0.001,           726590.800,      8.925
  6,                0.001,           726425.200,      8.927
  7,                0.001,           722905.800,      8.971
  8,                0.001,           736173.600,      8.809
  9,                0.001,           725471.000,      8.939
 10,                0.001,           724622.200,      8.949
 11,                0.001,           722187.300,      8.980
 12,                0.001,           723866.500,      8.959
 13,                0.001,           732913.900,      8.848
 14,                0.001,           737253.500,      8.796
 15,                0.001,           724715.000,      8.948
 16,                0.001,           729994.800,      8.884
 17,                0.001,           750089.900,      8.646
 18,                0.001,           751945.500,      8.624
 19,                0.001,           726861.500,      8.922
 20,                0.001,           727091.200,      8.919
 21,                0.001,           726425.000,      8.927
 22,                0.001,           728310.800,      8.904
 23,                0.001,           732655.900,      8.851
 24,                0.001,           732368.300,      8.855
 25,                0.001,           734201.700,      8.833
 26,                0.001,           732926.800,      8.848
 27,                0.001,           733379.400,      8.843
 28,                0.001,           736014.100,      8.811
 29,                0.001,           731985.800,      8.859
 30,                0.001,           735875.200,      8.813
 31,                0.001,           734128.400,      8.834
 32,                0.001,           730902.800,      8.873

722187.300, 831152.500, 735297.721, 19186.487, 2.609 %

Delta(min, max)   = 108965.200
Delta(amean, min) = 13110.421
Delta(amean, max) = 95854.779


(cycles, CPIt, CPI):
  0,          1362171.200,                1.565,                0.313
  1,          1321397.900,                1.518,                0.304
  2,          1315791.500,                1.512,                0.302
  3,          1320591.700,                1.517,                0.303
  4,          1317566.100,                1.514,                0.303
  5,          1321814.000,                1.519,                0.304
  6,          1328492.600,                1.526,                0.305
  7,          1322227.100,                1.519,                0.304
  8,          1327453.500,                1.525,                0.305
  9,          1314717.600,                1.510,                0.302
 10,          1315306.400,                1.511,                0.302
 11,          1348110.200,                1.549,                0.310
 12,          1344095.900,                1.544,                0.309
 13,          1311452.800,                1.507,                0.301
 14,          1309081.300,                1.504,                0.301
 15,          1316919.100,                1.513,                0.303
 16,          1306807.500,                1.501,                0.300
 17,          1324467.100,                1.522,                0.304
 18,          1320854.400,                1.518,                0.304
 19,          1328591.000,                1.526,                0.305
 20,          1319908.900,                1.516,                0.303
 21,          1320691.200,                1.517,                0.303
 22,          1320469.200,                1.517,                0.303
 23,          1314302.000,                1.510,                0.302
 24,          1319713.600,                1.516,                0.303
 25,          1311029.000,                1.506,                0.301
 26,          1318803.300,                1.515,                0.303
 27,          1323038.300,                1.520,                0.304
 28,          1315619.600,                1.512,                0.302
 29,          1312873.000,                1.508,                0.302
 30,          1318960.500,                1.515,                0.303
 31,          1319822.400,                1.516,                0.303
 32,          1320972.400,                1.518,                0.304

1306807.500, 1362171.200, 1321639.767, 11094.778, 0.839 %

Delta(min, max)   = 55363.700
Delta(amean, min) = 14832.267
Delta(amean, max) = 40531.433
