(s, ns, GiB/s):
  0,                0.000,           277991.310,     10.292
  1,                0.000,           271298.330,     10.546
  2,                0.000,           273924.790,     10.445
  3,                0.000,           271964.090,     10.520
  4,                0.000,           271357.490,     10.543
  5,                0.000,           271297.240,     10.546
  6,                0.000,           272736.400,     10.490
  7,                0.000,           270980.170,     10.558
  8,                0.000,           271490.330,     10.538
  9,                0.000,           271916.520,     10.522
 10,                0.000,           274286.690,     10.431
 11,                0.000,           271965.030,     10.520
 12,                0.000,           271823.370,     10.525
 13,                0.000,           274127.850,     10.437
 14,                0.000,           272722.150,     10.491
 15,                0.000,           271862.250,     10.524
 16,                0.000,           271904.410,     10.522
 17,                0.000,           275551.960,     10.383
 18,                0.000,           271846.320,     10.524
 19,                0.000,           271769.540,     10.527
 20,                0.000,           271817.740,     10.526
 21,                0.000,           275813.780,     10.373
 22,                0.000,           271067.570,     10.555
 23,                0.000,           274503.630,     10.423
 24,                0.000,           272109.010,     10.514
 25,                0.000,           271081.300,     10.554
 26,                0.000,           271075.190,     10.554
 27,                0.000,           271707.670,     10.530
 28,                0.000,           270857.710,     10.563
 29,                0.000,           271031.580,     10.556
 30,                0.000,           272079.800,     10.515
 31,                0.000,           275058.400,     10.402
 32,                0.000,           272139.440,     10.513

270857.710, 277991.310, 272519.972, 1696.451, 0.623 %

Delta(min, max)   = 7133.600
Delta(amean, min) = 1662.262
Delta(amean, max) = 5471.338


(cycles, CPIt, CPI):
  0,           491556.120,                1.280,                0.256
  1,           486596.820,                1.267,                0.253
  2,           487466.570,                1.269,                0.254
  3,           487483.420,                1.269,                0.254
  4,           487254.490,                1.269,                0.254
  5,           489344.900,                1.274,                0.255
  6,           492424.980,                1.282,                0.256
  7,           486872.590,                1.268,                0.254
  8,           486239.050,                1.266,                0.253
  9,           486328.340,                1.266,                0.253
 10,           488402.790,                1.272,                0.254
 11,           486644.390,                1.267,                0.253
 12,           487827.870,                1.270,                0.254
 13,           495628.440,                1.291,                0.258
 14,           487824.250,                1.270,                0.254
 15,           487910.680,                1.271,                0.254
 16,           491908.000,                1.281,                0.256
 17,           486807.180,                1.268,                0.254
 18,           488058.680,                1.271,                0.254
 19,           485744.790,                1.265,                0.253
 20,           492107.330,                1.282,                0.256
 21,           490014.370,                1.276,                0.255
 22,           488010.000,                1.271,                0.254
 23,           488547.540,                1.272,                0.254
 24,           487816.580,                1.270,                0.254
 25,           487451.290,                1.269,                0.254
 26,           487812.200,                1.270,                0.254
 27,           489407.460,                1.274,                0.255
 28,           494358.430,                1.287,                0.257
 29,           487611.630,                1.270,                0.254
 30,           487633.790,                1.270,                0.254
 31,           488650.460,                1.273,                0.255
 32,           486646.750,                1.267,                0.253

485744.790, 495628.440, 488617.945, 2373.489, 0.486 %

Delta(min, max)   = 9883.650
Delta(amean, min) = 2873.155
Delta(amean, max) = 7010.495
