(s, ns, GiB/s):
  0, 0.004, 4373854.500, 1.483
  1, 0.004, 4366951.000, 1.485
  2, 0.004, 4367363.000, 1.485
  3, 0.004, 4366962.300, 1.485
  4, 0.004, 4366911.100, 1.485
  5, 0.004, 4367225.800, 1.485
  6, 0.004, 4366919.300, 1.485
  7, 0.004, 4366940.500, 1.485
  8, 0.004, 4367512.400, 1.485
  9, 0.004, 4366932.500, 1.485
 10, 0.004, 4368386.200, 1.485
 11, 0.004, 4368020.700, 1.485
 12, 0.004, 4371882.200, 1.483
 13, 0.004, 4366974.100, 1.485
 14, 0.004, 4367076.000, 1.485
 15, 0.004, 4367389.500, 1.485
 16, 0.004, 4366944.400, 1.485
 17, 0.004, 4367019.000, 1.485
 18, 0.004, 4367332.100, 1.485
 19, 0.004, 4367246.500, 1.485
 20, 0.004, 4367184.400, 1.485
 21, 0.004, 4367101.600, 1.485
 22, 0.004, 4366855.100, 1.485
 23, 0.004, 4367071.600, 1.485
 24, 0.004, 4367244.800, 1.485
 25, 0.004, 4368266.500, 1.485
 26, 0.004, 4366964.000, 1.485
 27, 0.004, 4367251.800, 1.485
 28, 0.004, 4367245.500, 1.485
 29, 0.004, 4366958.300, 1.485
 30, 0.004, 4366996.000, 1.485
 31, 0.004, 4367841.700, 1.485
 32, 0.004, 4367438.700, 1.485

4366855.100, 4373854.500, 4367583.730, 1437.286, 0.033 %

Delta(min, max)   = 6999.400
Delta(amean, min) = 728.630
Delta(amean, max) = 6270.770


(cycles, CPIt, CPI):
  0, 7866583.400, 9.038, 1.808
  1, 7861056.700, 9.032, 1.806
  2, 7861510.700, 9.032, 1.806
  3, 7861233.200, 9.032, 1.806
  4, 7861466.600, 9.032, 1.806
  5, 7860542.900, 9.031, 1.806
  6, 7860521.600, 9.031, 1.806
  7, 7860803.300, 9.031, 1.806
  8, 7860582.000, 9.031, 1.806
  9, 7862556.300, 9.033, 1.807
 10, 7865062.200, 9.036, 1.807
 11, 7870045.500, 9.042, 1.808
 12, 7860494.100, 9.031, 1.806
 13, 7862560.600, 9.033, 1.807
 14, 7860702.800, 9.031, 1.806
 15, 7860390.200, 9.031, 1.806
 16, 7860779.400, 9.031, 1.806
 17, 7860571.200, 9.031, 1.806
 18, 7861211.400, 9.032, 1.806
 19, 7860719.200, 9.031, 1.806
 20, 7861820.500, 9.032, 1.806
 21, 7860672.500, 9.031, 1.806
 22, 7860667.000, 9.031, 1.806
 23, 7861631.500, 9.032, 1.806
 24, 7860316.800, 9.031, 1.806
 25, 7860688.000, 9.031, 1.806
 26, 7860690.400, 9.031, 1.806
 27, 7861126.400, 9.032, 1.806
 28, 7860631.400, 9.031, 1.806
 29, 7860355.300, 9.031, 1.806
 30, 7860481.700, 9.031, 1.806
 31, 7860636.100, 9.031, 1.806
 32, 7861115.900, 9.032, 1.806

7860316.800, 7870045.500, 7861522.024, 2019.849, 0.026 %

Delta(min, max)   = 9728.700
Delta(amean, min) = 1205.224
Delta(amean, max) = 8523.476
