(s, ns, GiB/s):
  0, 0.000, 133437.240, 1.429
  1, 0.000, 128317.630, 1.486
  2, 0.000, 128279.490, 1.487
  3, 0.000, 128307.250, 1.487
  4, 0.000, 128306.060, 1.487
  5, 0.000, 128304.110, 1.487
  6, 0.000, 128341.670, 1.486
  7, 0.000, 128300.900, 1.487
  8, 0.000, 128300.940, 1.487
  9, 0.000, 128267.210, 1.487
 10, 0.000, 128321.440, 1.486
 11, 0.000, 128306.910, 1.487
 12, 0.000, 128307.010, 1.487
 13, 0.000, 128306.410, 1.487
 14, 0.000, 128306.910, 1.487
 15, 0.000, 128268.470, 1.487
 16, 0.000, 128306.760, 1.487
 17, 0.000, 128305.680, 1.487
 18, 0.000, 128306.450, 1.487
 19, 0.000, 128307.360, 1.487
 20, 0.000, 128313.000, 1.486
 21, 0.000, 128314.460, 1.486
 22, 0.000, 128434.610, 1.485
 23, 0.000, 128300.740, 1.487
 24, 0.000, 128300.780, 1.487
 25, 0.000, 128304.150, 1.487
 26, 0.000, 128306.180, 1.487
 27, 0.000, 128305.200, 1.487
 28, 0.000, 128305.760, 1.487
 29, 0.000, 128266.860, 1.487
 30, 0.000, 128322.280, 1.486
 31, 0.000, 128305.500, 1.487
 32, 0.000, 128305.680, 1.487

128266.860, 133437.240, 128463.367, 893.313, 0.695 %

Delta(min, max)   = 5170.380
Delta(amean, min) = 196.507
Delta(amean, max) = 4973.873


(cycles, CPIt, CPI):
  0, 230980.480, 9.023, 1.805
  1, 230957.860, 9.022, 1.804
  2, 230883.810, 9.019, 1.804
  3, 230952.710, 9.022, 1.804
  4, 230985.320, 9.023, 1.805
  5, 230956.630, 9.022, 1.804
  6, 230945.270, 9.021, 1.804
  7, 230961.310, 9.022, 1.804
  8, 230943.470, 9.021, 1.804
  9, 230880.000, 9.019, 1.804
 10, 230940.410, 9.021, 1.804
 11, 230939.600, 9.021, 1.804
 12, 230944.300, 9.021, 1.804
 13, 230948.090, 9.021, 1.804
 14, 230949.750, 9.021, 1.804
 15, 230947.500, 9.021, 1.804
 16, 230882.110, 9.019, 1.804
 17, 230946.080, 9.021, 1.804
 18, 230962.480, 9.022, 1.804
 19, 230937.670, 9.021, 1.804
 20, 230967.410, 9.022, 1.804
 21, 230937.790, 9.021, 1.804
 22, 231027.800, 9.025, 1.805
 23, 230948.510, 9.021, 1.804
 24, 230958.770, 9.022, 1.804
 25, 230943.140, 9.021, 1.804
 26, 230948.320, 9.021, 1.804
 27, 230950.170, 9.021, 1.804
 28, 230966.330, 9.022, 1.804
 29, 230878.690, 9.019, 1.804
 30, 230946.420, 9.021, 1.804
 31, 230949.320, 9.021, 1.804
 32, 230949.240, 9.021, 1.804

230878.690, 231027.800, 230945.962, 29.791, 0.013 %

Delta(min, max)   = 149.110
Delta(amean, min) = 67.272
Delta(amean, max) = 81.838
